,genus,species,count,centroid_x,centroid_y,std_x,std_y,radio_dis
41,Certhiaxis,cinnamomeus,235,-52.14194978354978,-15.32615411255411,8.737821938057634,8.737821938057634,12.24787253415341
42,Pionus,menstruus,230,-66.84073856502242,-2.1236811659192827,12.619379378958476,12.619379378958476,13.857804312397533
43,Psarocolius,decumanus,229,-63.36839069767443,-7.088749302325583,12.615031909967366,12.615031909967366,16.704037754821986
44,Thraupis,palmarum,224,-61.888123720930245,-4.364180930232559,14.767590527085648,14.767590527085648,17.47573701251415
45,Megaceryle,torquata,222,-70.87672764976958,-2.358467741935484,18.61939721967466,18.61939721967466,25.059455721818196
46,Brotogeris,jugularis,218,-81.29049953703705,9.823579166666669,6.677907388951756,6.677907388951756,6.482202196104837
47,Dendroplex,picus,210,-60.7694094059406,-3.9740648514851484,13.263737471229724,13.263737471229724,14.532068050498818
48,Pulsatrix,perspicillata,201,-67.136546,-2.3411645,15.69256745408106,15.69256745408106,17.918361934840206
49,Tolmomyias,flaviventris,188,-52.378446774193556,-7.945870430107527,13.47377636637523,13.47377636637523,15.519912376422546
50,Dendrocincla,fuliginosa,186,-69.75006263736263,-1.093602197802198,11.172310032683757,11.172310032683757,11.890090356913529
51,Sporophila,nigricollis,185,-62.97809005847953,-4.456796491228069,14.992437676658781,14.992437676658781,17.441212271682012
52,Donacobius,atricapilla,176,-57.34244712643679,-11.418679310344826,12.45633766196203,12.45633766196203,15.419206124017682
53,Caracara,plancus,169,-64.52404629629629,-7.961101851851853,19.146312830409244,19.146312830409244,27.247567186824323
54,Butorides,striata,169,11.109296969696967,-1.6224806060606067,80.673098415212,80.673098415212,79.13013372006046
55,Setophaga,castanea,167,-81.72463987730062,42.11476441717791,14.810889423222948,14.810889423222948,12.941209412111254
56,Asio,clamator,164,-60.08498544303798,-15.365298734177216,13.429840361666683,13.429840361666683,19.139943358813646
57,Progne,chalybea,164,-66.43668853503183,-7.266505095541402,16.246628696918552,16.246628696918552,21.916420274585775
58,Xiphorhynchus,susurrans,162,-79.05200127388535,8.715542675159236,5.1502129952737175,5.1502129952737175,4.343912353603878
59,Leptopogon,amaurocephalus,158,-58.38667852348993,-12.093902684563758,14.624492598793168,14.624492598793168,17.728268845062694
60,Euphonia,laniirostris,153,-76.32151788079472,0.7838384105960265,5.049126243800923,5.049126243800923,6.692312631621806
61,Patagioenas,cayennensis,151,-64.29255472972973,-5.392715540540539,13.31871642451072,13.31871642451072,17.025929495558774
62,Ara,ararauna,149,-61.246822602739734,-8.455793835616438,14.109201126340578,14.109201126340578,13.58086637219087
63,Amazilia,tzacatl,148,-81.95259310344828,7.416942758620691,4.923421940195034,4.923421940195034,6.7578129248027095
64,Porphyrio,martinica,147,-73.17542340425533,8.461608510638298,18.180125348785065,18.180125348785065,25.71460240542057
65,Ortalis,columbiana,145,-75.0351811188811,5.569693006993008,0.964091880755463,0.964091880755463,1.3718736899084085
66,Campephilus,melanoleucos,144,-64.61920979020978,-5.104971328671328,11.9720865280572,11.9720865280572,14.784176268997717
67,Amazona,ochrocephala,142,-70.30768115942031,2.048768115942029,10.287437239413052,10.287437239413052,10.46309719947893
68,Ara,severus,139,-69.80272101449275,0.022797826086956397,7.695649280161749,7.695649280161749,10.820540959758466
69,Columbina,talpacoti,138,-61.6816588235294,-6.274283088235294,18.719735829244144,18.719735829244144,21.977078747675893
70,Ceratopipra,erythrocephala,134,-67.8856947761194,1.6893089552238805,8.272726783243636,8.272726783243636,8.43828261798569
71,Jacana,jacana,133,-59.451208527131776,-11.554877519379843,13.115765771914567,13.115765771914567,18.022618940301317
72,Chloroceryle,americana,132,-77.76689212598424,2.4459842519685036,22.77306734786016,22.77306734786016,28.015847842688544
73,Crotophaga,major,127,-58.27413801652892,-10.285409090909093,13.26345201391144,13.26345201391144,16.240144291771568
74,Formicivora,grisea,126,-48.95218015873016,-6.420620634920635,13.098323925062934,13.098323925062934,12.752169711500063
75,Machetornis,rixosa,114,-58.411140384615386,-15.942350961538462,11.840676567658942,11.840676567658942,15.355693929479868
76,Stelgidopteryx,ruficollis,112,-57.44740857142857,-11.848518095238097,13.040442438200541,13.040442438200541,15.338774655473792
77,Pheugopedius,fasciatoventris,110,-78.74884857142857,7.670860952380952,3.695682180190032,3.695682180190032,3.7939518079445054
78,Mesembrinibis,cayennensis,109,-60.95838396226415,-9.884469811320754,12.739465657088566,12.739465657088566,16.174030946342498
79,Tityra,semifasciata,109,-76.58679444444445,3.580269444444445,17.939445279801888,17.939445279801888,19.672450795866084
80,Tachybaptus,dominicus,108,-74.8685,2.2924688679245278,21.326827622601325,21.326827622601325,26.152534515049467
81,Egretta,thula,108,-85.4877576923077,15.577422115384614,24.666419529138008,24.666419529138008,29.250601881716737
82,Cyanocorax,affinis,108,-76.4487794117647,7.630669607843136,2.780687447071607,2.780687447071607,3.4232427962674388
83,Buteogallus,urubitinga,107,-64.631975,-8.69132980769231,14.63018211614889,14.63018211614889,19.3368935952302
84,Zenaida,auriculata,105,-62.7928180851064,-14.607449999999998,13.756572709768262,13.756572709768262,18.556838035236037
85,Sakesphorus,canadensis,105,-65.20142842105264,5.181065263157894,7.932344997097751,7.932344997097751,8.436235825758354
86,Myrmeciza,longipes,104,-71.5862090909091,6.900014141414141,7.244803825704851,7.244803825704851,6.707168612651851
87,Schiffornis,turdina,97,-54.970106315789494,-9.213052631578947,14.906652887753179,14.906652887753179,14.556761548129254
88,Baryphthengus,martii,97,-76.22595263157896,0.23686736842105288,6.58189655351935,6.58189655351935,7.587425304526232
89,Tyrannulus,elatus,97,-67.72292795698925,-0.36656774193548397,10.663317258274565,10.663317258274565,11.430461775500882
90,Quiscalus,lugubris,94,-68.2628193548387,8.976145161290322,6.808452898084251,6.808452898084251,7.205251128536308
91,Campylorhynchus,griseus,93,-71.65278048780488,7.770778048780488,4.419226721824482,4.419226721824482,4.495327086126459
92,Anhinga,anhinga,91,-77.69025274725274,19.33553076923077,10.906983733655641,10.906983733655641,15.03809153682109
93,Nannopterum,brasilianum,90,-81.65824567901234,6.723498765432098,24.155847650268356,24.155847650268356,29.595582815595932
94,Poecilotriccus,sylvia,90,-71.24864022988507,4.590452873563218,10.634116636437039,10.634116636437039,9.081036354226045
95,Melanerpes,rubricapillus,90,-75.59259438202247,7.405001123595505,4.316445751766836,4.316445751766836,4.579120956320984
96,Ara,chloropterus,89,-58.277126436781614,-8.602402298850574,20.155432747670112,20.155432747670112,12.65567432953045
97,Chloroceryle,amazona,89,-61.37103372093023,-10.800647674418606,13.162752220341135,13.162752220341135,16.950865468765944
98,Saltator,olivascens,85,-72.15982289156625,7.78513373493976,4.648198540679212,4.648198540679212,4.565896715398989
99,Tinamus,major,83,-69.13685512820513,0.7108423076923075,11.5253569522079,11.5253569522079,13.098150542406481
100,Forpus,conspicillatus,81,-74.88100138888889,4.9630777777777775,1.1241854310879018,1.1241854310879018,1.3339776006463353
101,Tigrisoma,lineatum,80,-60.014985897435906,-13.65231153846154,11.542629174751598,11.542629174751598,14.936845083082563
102,Tyrannus,savana,80,-57.23262337662336,-17.004724675324674,10.763801386970817,10.763801386970817,15.59428872202886
103,Chrysomus,icterocephalus,79,-71.12716206896552,2.327374137931035,6.991847217019796,6.991847217019796,7.563324226188964
104,Penelope,purpurascens,77,-83.64154285714284,8.843603896103897,7.792010164404897,7.792010164404897,8.197527596374659
105,Trogon,chionurus,75,-78.12431408450705,3.8531521126760566,1.7147869218673377,1.7147869218673377,3.710172580786182
106,Eupsittula,pertinax,74,-69.22849436619717,7.545170422535209,8.703381735075576,8.703381735075576,8.891458294619541
107,Coragyps,atratus,70,-68.46426811594202,5.58854347826087,18.10684818967428,18.10684818967428,26.670687959393984
108,Sporophila,minuta,70,-80.69225147058823,9.50423970588235,12.584523766661743,12.584523766661743,11.775212365233461
109,Pyrocephalus,rubinus,69,-80.69414307692307,2.462501538461539,23.637471977805262,23.637471977805262,31.266453624839755
110,Nyctibius,grandis,67,-70.64469701492536,-1.3343850746268657,10.573486380621345,10.573486380621345,12.086528386609015
111,Phaetusa,simplex,67,-60.358826984126985,-15.19147619047619,8.177310051778802,8.177310051778802,14.569982930585827
112,Pachyramphus,cinnamomeus,67,-78.1021090909091,5.238943939393939,3.4670094345575837,3.4670094345575837,5.0689584221025985
113,Furnarius,leucopus,66,-61.10844545454546,-7.74841212121212,13.023212775971865,13.023212775971865,14.374764786846491
114,Icterus,nigrogularis,60,-70.35702321428572,7.394669642857143,6.400857561184146,6.400857561184146,6.182526349369087
115,Pteroglossus,torquatus,57,-85.62020892857143,12.560419642857143,5.983102388700221,5.983102388700221,5.8521479884996195
116,Ramphocelus,dimidiatus,56,-76.67517924528302,6.981335849056604,2.9454975920315354,2.9454975920315354,3.6115849738940144
117,Notharchus,tectus,55,-64.12078333333332,-1.3761444444444437,11.431642326029875,11.431642326029875,12.907257099817373
118,Leistes,militaris,55,-65.05975454545454,-0.3049836363636363,11.122890804116414,11.122890804116414,12.13080266786119
119,Busarellus,nigricollis,54,-60.45073076923077,-10.719461538461534,9.609196717438863,9.609196717438863,13.349655063643555
120,Buteogallus,meridionalis,54,-54.62862156862744,-15.265611764705882,9.765903551950807,9.765903551950807,12.96441557565634
121,Colinus,cristatus,50,-71.40848181818181,5.953395454545455,8.632023276341751,8.632023276341751,7.494946448096116
122,Tachycineta,albiventer,50,-60.545946000000015,-6.989542,13.817166561407735,13.817166561407735,15.8045775616574
123,Colaptes,punctigula,48,-69.43097804878047,0.936951219512195,8.72627599758932,8.72627599758932,10.008177961547798
124,Momotus,subrufescens,47,-78.01726904761904,2.799354761904762,2.342757843560824,2.342757843560824,5.580875969419401
125,Ardea,cocoi,40,-61.42017948717948,-12.59490769230769,9.988879813487456,9.988879813487456,16.07753684107827
126,Sporophila,funerea,40,-80.6538875,7.031934999999999,4.402266406760697,4.402266406760697,6.610825382693376
127,Onychorhynchus,coronatus,40,-61.4489282051282,-5.300302564102564,10.616977830257483,10.616977830257483,10.533920868571105
128,Cochlearius,cochlearius,39,-78.46297435897436,6.022115384615384,13.96850539332842,13.96850539332842,14.964515543807698
129,Ictinia,plumbea,38,-53.43900270270271,-18.868099999999995,8.258670045423893,8.258670045423893,8.566757550087255
130,Picumnus,olivaceus,38,-78.07949736842106,5.611765789473683,4.505823340995097,4.505823340995097,5.394932950643431
131,Arundinicola,leucocephala,34,-48.934296969696966,-15.36087878787879,6.051128192203142,6.051128192203142,7.527123899010029
132,Platalea,ajaja,34,-75.5117382352941,10.538979411764705,16.262828439618957,16.262828439618957,27.17109318947135
133,Tityra,inquisitor,32,-59.16082580645162,-9.451954838709678,14.235583722873711,14.235583722873711,16.742974418167506
134,Chloroceryle,aenea,28,-69.53785,1.9482821428571424,14.68294321533128,14.68294321533128,16.18990543480134
135,Phimosus,infuscatus,27,-59.203663999999996,-10.273955999999998,12.431680613943714,12.431680613943714,16.720531257747986
136,Mycteria,americana,27,-75.7298962962963,16.58938148148148,9.441604493567247,9.441604493567247,17.85291946912753
137,Sporophila,intermedia,25,-73.25088,5.990452000000001,4.281510376210712,4.281510376210712,3.8387475685033707
138,Crax,alberti,20,-74.24713750000001,6.0197,0.037732377923339326,0.037732377923339326,0.05437203116401711
139,Fluvicola,pica,19,-70.60866842105264,6.822484210526317,7.861769429403793,7.861769429403793,7.458902257522816
140,Hypnelus,ruficollis,17,-73.83313529411764,9.866441176470587,2.090743489187007,2.090743489187007,2.319424394389794
141,Chrysuronia,goudoti,15,-74.74947333333334,4.365073333333332,0.3257091943573101,0.3257091943573101,0.5079478470217726
142,Pyrilia,pyrilia,14,-73.9316857142857,6.8425499999999975,1.6534579016875697,1.6534579016875697,1.4109960427983235
143,Chauna,chavaria,14,-74.53880000000002,7.139000000000001,1.3143955840722277,1.3143955840722277,1.4951742023606924
144,Cathartes,aura,11,-75.91350000000001,14.778654545454545,16.31026725638012,16.31026725638012,34.96623037521808
145,Tangara,inornata,6,-79.5857,9.095266666666667,0.19636480506105797,0.19636480506105797,0.1814389170817615
